pinging DAFFE 3
PING 54.74.144.100 (54.74.144.100) 56(84) bytes of data.
64 bytes from 54.74.144.100: icmp_seq=1 ttl=43 time=19.0 ms
64 bytes from 54.74.144.100: icmp_seq=2 ttl=43 time=20.7 ms
64 bytes from 54.74.144.100: icmp_seq=3 ttl=43 time=42.7 ms
64 bytes from 54.74.144.100: icmp_seq=4 ttl=43 time=18.9 ms
64 bytes from 54.74.144.100: icmp_seq=5 ttl=43 time=21.3 ms
64 bytes from 54.74.144.100: icmp_seq=6 ttl=43 time=20.9 ms
64 bytes from 54.74.144.100: icmp_seq=7 ttl=43 time=23.7 ms
64 bytes from 54.74.144.100: icmp_seq=8 ttl=43 time=37.2 ms
64 bytes from 54.74.144.100: icmp_seq=9 ttl=43 time=22.7 ms
64 bytes from 54.74.144.100: icmp_seq=10 ttl=43 time=19.6 ms
64 bytes from 54.74.144.100: icmp_seq=11 ttl=43 time=20.9 ms
64 bytes from 54.74.144.100: icmp_seq=12 ttl=43 time=19.6 ms
64 bytes from 54.74.144.100: icmp_seq=13 ttl=43 time=19.5 ms
64 bytes from 54.74.144.100: icmp_seq=14 ttl=43 time=25.2 ms
64 bytes from 54.74.144.100: icmp_seq=15 ttl=43 time=19.1 ms
64 bytes from 54.74.144.100: icmp_seq=16 ttl=43 time=41.6 ms
64 bytes from 54.74.144.100: icmp_seq=17 ttl=43 time=55.6 ms
64 bytes from 54.74.144.100: icmp_seq=18 ttl=43 time=33.1 ms
64 bytes from 54.74.144.100: icmp_seq=19 ttl=43 time=29.2 ms
64 bytes from 54.74.144.100: icmp_seq=20 ttl=43 time=19.0 ms
64 bytes from 54.74.144.100: icmp_seq=21 ttl=43 time=20.8 ms
64 bytes from 54.74.144.100: icmp_seq=22 ttl=43 time=40.4 ms
64 bytes from 54.74.144.100: icmp_seq=23 ttl=43 time=23.6 ms
64 bytes from 54.74.144.100: icmp_seq=24 ttl=43 time=19.1 ms
64 bytes from 54.74.144.100: icmp_seq=25 ttl=43 time=19.9 ms
64 bytes from 54.74.144.100: icmp_seq=26 ttl=43 time=20.4 ms
64 bytes from 54.74.144.100: icmp_seq=27 ttl=43 time=21.1 ms
64 bytes from 54.74.144.100: icmp_seq=28 ttl=43 time=19.0 ms
64 bytes from 54.74.144.100: icmp_seq=29 ttl=43 time=21.4 ms
64 bytes from 54.74.144.100: icmp_seq=30 ttl=43 time=19.5 ms
64 bytes from 54.74.144.100: icmp_seq=31 ttl=43 time=23.1 ms
64 bytes from 54.74.144.100: icmp_seq=32 ttl=43 time=20.1 ms
64 bytes from 54.74.144.100: icmp_seq=33 ttl=43 time=20.8 ms
64 bytes from 54.74.144.100: icmp_seq=34 ttl=43 time=19.1 ms
64 bytes from 54.74.144.100: icmp_seq=35 ttl=43 time=21.3 ms
64 bytes from 54.74.144.100: icmp_seq=36 ttl=43 time=20.6 ms
64 bytes from 54.74.144.100: icmp_seq=37 ttl=43 time=19.4 ms
64 bytes from 54.74.144.100: icmp_seq=38 ttl=43 time=20.4 ms
64 bytes from 54.74.144.100: icmp_seq=39 ttl=43 time=19.2 ms
64 bytes from 54.74.144.100: icmp_seq=40 ttl=43 time=21.5 ms
64 bytes from 54.74.144.100: icmp_seq=41 ttl=43 time=19.6 ms
64 bytes from 54.74.144.100: icmp_seq=42 ttl=43 time=19.4 ms
64 bytes from 54.74.144.100: icmp_seq=43 ttl=43 time=18.9 ms
64 bytes from 54.74.144.100: icmp_seq=44 ttl=43 time=20.5 ms
64 bytes from 54.74.144.100: icmp_seq=45 ttl=43 time=21.6 ms
64 bytes from 54.74.144.100: icmp_seq=46 ttl=43 time=19.2 ms
64 bytes from 54.74.144.100: icmp_seq=47 ttl=43 time=21.2 ms
64 bytes from 54.74.144.100: icmp_seq=48 ttl=43 time=23.9 ms
64 bytes from 54.74.144.100: icmp_seq=49 ttl=43 time=19.6 ms
64 bytes from 54.74.144.100: icmp_seq=50 ttl=43 time=19.8 ms
64 bytes from 54.74.144.100: icmp_seq=51 ttl=43 time=22.2 ms
64 bytes from 54.74.144.100: icmp_seq=52 ttl=43 time=19.6 ms
64 bytes from 54.74.144.100: icmp_seq=53 ttl=43 time=19.0 ms
64 bytes from 54.74.144.100: icmp_seq=54 ttl=43 time=26.5 ms
64 bytes from 54.74.144.100: icmp_seq=55 ttl=43 time=21.6 ms
64 bytes from 54.74.144.100: icmp_seq=56 ttl=43 time=19.5 ms
64 bytes from 54.74.144.100: icmp_seq=57 ttl=43 time=23.0 ms
64 bytes from 54.74.144.100: icmp_seq=58 ttl=43 time=20.1 ms
64 bytes from 54.74.144.100: icmp_seq=59 ttl=43 time=19.7 ms
